RollRate,Roll,DesRoll
-11.4342,-3.23294,-8.98859
-11.3535,-3.51879,-8.9683
-11.2426,-3.80263,-8.94246
-11.1031,-4.08369,-8.9111
-10.9366,-4.36127,-8.87423
-10.7445,-4.63469,-8.83187
-10.5282,-4.9033,-8.78404
-10.2894,-5.1665,-8.73081
-10.0294,-5.42374,-8.67221
-9.74961,-5.67447,-8.60834
-9.45152,-5.91821,-8.53926
-9.13646,-6.1545,-8.46506
-8.80581,-6.38291,-8.38583
-8.46089,-6.60306,-8.30167
-8.103,-6.81458,-8.21271
-7.73342,-7.01715,-8.11906
-7.35339,-7.21049,-8.02084
-6.96412,-7.39432,-7.9182
-6.56679,-7.56843,-7.81128
-6.16255,-7.7326,-7.70023
-5.75251,-7.88666,-7.58518
-5.33776,-8.03047,-7.46631
-4.91934,-8.16392,-7.34379
-4.49826,-8.2869,-7.21777
-4.0755,-8.39936,-7.08844
-3.65201,-8.50124,-6.95595
-3.22869,-8.59255,-6.82051
-2.80641,-8.67326,-6.68229
-2.38601,-8.74342,-6.54147
-1.96831,-8.80307,-6.39826
-1.55405,-8.85228,-6.25281
-1.14397,-8.89113,-6.10536
-0.738783,-8.91973,-5.95606
-0.339134,-8.9382,-5.80511
0.0543426,-8.94668,-5.65271
0.441053,-8.94532,-5.49906
0.820436,-8.93429,-5.34434
1.19197,-8.91378,-5.18873
1.55515,-8.88398,-5.03244
1.90952,-8.84511,-4.87565
2.25465,-8.79737,-4.71853
2.59015,-8.741,-4.56128
2.91565,-8.67625,-4.40406
3.23081,-8.60336,-4.24705
3.53533,-8.52259,-4.09045
3.82893,-8.4342,-3.9344
4.11137,-8.33848,-3.77906
4.38243,-8.23569,-3.62461
4.64191,-8.12613,-3.47118
4.88967,-8.01009,-3.31895
5.12555,-7.88784,-3.16805
5.34945,-7.75971,-3.01863
5.56129,-7.62597,-2.87082
5.761,-7.48694,-2.72473
5.94856,-7.34291,-2.58052
6.12393,-7.1942,-2.43829
6.28715,-7.0411,-2.29815
6.43822,-6.88392,-2.16022
6.57722,-6.72297,-2.02458
6.70421,-6.55854,-1.89135
6.81928,-6.39093,-1.76061
6.92254,-6.22045,-1.63245
7.01412,-6.04738,-1.50693
7.09416,-5.87203,-1.38414
7.16284,-5.69468,-1.26414
7.22031,-5.51561,-1.147
7.26678,-5.3351,-1.03275
7.30245,-5.15343,-0.921467
7.32754,-4.97087,-0.813168
7.34227,-4.78768,-0.707918
7.3469,-4.60412,-0.605742
